item_no,item_title,source_pages,source_pdf,test_item,materials,method,domain,domain_code,standard,score_options,ocr_status
1,（1） 旋开瓶盖,4,PEP-3使用册(1).pdf,（1） 旋开瓶盖,肥皂泡液,"测试员把瓶放在桌子上，说：「呢啲
系番枧泡。」（这些是肥皂泡液。）将
瓶交给儿童，以手势示意儿童旋开瓶
盖。若儿童未能完成，测试员示范1
次，并指示儿童模仿。",小肌肉,FM,"2- 能自行旋开瓶盖
1- 未能旋开瓶盖，但作出所需动作（即把手放在
瓶盖上并作出旋动动作）
0- 未能旋开瓶盖或作出所需动作",2/1/0,OCR草稿，需人工校对
2,（2） 吹肥皂泡,4,PEP-3使用册(1).pdf,（2） 吹肥皂泡,"同上＋肥皂泡
棒","测试员示范吹肥皂泡的方法，然后把
肥皂泡棒交给儿童，说：「你吹泡泡
呀。」（你吹肥皂泡液吧。）",小肌肉,FM,"2- 能成功地吹出肥皂泡
1- 未能成功地吹出肥皂泡，但有吹泡时所需的动
作（即持肥皂泡棒于口边，端出嘴唇，吹气）
0- 未能成功地吹出肥皂泡，亦未作出吹肥皂泡
所需动作",2/1/0,OCR草稿，需人工校对
3,（3） 目光追视,4,PEP-3使用册(1).pdf,（3） 目光追视,同上,"观察：
于进行第（2）项活动的同时，观察儿
童有否追视肥皂泡的移动。",小肌肉,FM,"2- 能明显地追视肥皂泡移动
1- 偶有注视肥皂泡移动，但为时甚短
0- 未能或没有尝试追视肥皂泡",2/1/0,OCR草稿，需人工校对
4,（4） 目光追视跨越中线,4,PEP-3使用册(1).pdf,（4） 目光追视跨越中线,"肥皂泡棒及肥
皂泡，或儿童
有兴趣之其他
物件","测试员把带有肥皂泡之吹泡圈或其他
儿童感兴趣的物件，在儿童面前由左
至右作跨越中线的移动［90度角，见
图（1）］
*图（1）
.儿童
中线 物件转移的角度
—测试员",小肌肉,FM,"2- 能持续不断地追视测试员的动作
1-目光能追视至中线位或稍越中线位
0-目光未能或没有追视至中线位",2/1/0,OCR草稿，需人工校对
5,（5） 检视触觉块,5,PEP-3使用册(1).pdf,"（5） 检视触觉块
万花筒","不同的触觉块
3块
（毛茸茸的；粗
糙；有坑纹）","测试员将3块触觉块放在儿童的面
前。并观察：
- 儿童对触觉块是否有不恰当的反
应？
-儿童会否抓、尝、嗅或拒绝接触触
觉块？
*在观察期间，测试员应保持沉默，
切勿干扰儿童的行为。*","行为特征
-非语言",CMB,"2- 对各触觉块有适当的反应（叠起、触摸、观
看、询问或提出对触觉块的意见）
1- 表现有点不寻常或过分地感兴趣；或完全不
感兴趣
0-不恰当地作出反应，表现出异或过分的感
官兴趣（舔、嗅、抓或沉迷地触摸它们）",2/1/0,OCR草稿，需人工校对
6,（6） 使用万花筒,5,PEP-3使用册(1).pdf,（6） 使用万花筒,万花筒,"测试员示范观看万花筒及转动万花筒
之底盘。
示范时须清楚地让儿童看到测试员将
万花筒放在眼前观看，并以一手持万
花筒，另一手转动底盘的动作。
将万花筒交给儿童并以手势示意儿童
使用万花筒。","模仿
（视觉/动作）",VMI,"2- 能观看万花筒并转动底盘
1- 只能完成上述其中之1项动作（观看万花筒或
转动底盘）
0- 未能或没有尝试观看万花筒或转动底盘",2/1/0,OCR草稿，需人工校对
7,（7）表现出能够使用惯用眼,5,PEP-3使用册(1).pdf,"（7）表现出能够使用惯用眼
手摇铃",同上,"观察：
于进行第（6）项活动时，注意儿童是
否稳定地表现出使用惯用眼（即儿童
持续地以同一眼睛观看万花筒）。
若儿童轮流使用双眼观看万花筒，测
试员可再示范，并将万花筒交给儿
童，以手势示意儿童再次观看，并作
第2次观察。",小肌肉,FM,"2- 表现出使用惯用眼（即持续地以同一眼睛观看
万花筒）
1- 开始表现出使用惯用眼（即大部分时间使用同
一眼睛观看万花筒）
0- 没有使用惯用眼（使用双眼观看）；*或在2
次观察中儿童均没有观看万花筒*",2/1/0,OCR草稿，需人工校对
8,（8） 转向手摇铃声,5,PEP-3使用册(1).pdf,（8） 转向手摇铃声,手摇铃,"观察：
一当儿童进行另一项测试时，测试员
将手摇铃收藏在儿童看不见的地
方，然后大力摇动手摇铃，观察儿
童的反应。","认知
（语言/语前）",CVP,"2- 清楚显示对声音有反应及正确地转向声源：
可以是口语的反应〔例：问「乜嘢声？」（是
甚么声音？）〕；或非口语的反应（例：眨
眼、改爱面部表情、跳起、哭、将头部转向
声源）
1- 有听到声音的表现，但没有转向声源：或所
转的方向不正确
0- 没有使用口语或非口语，以显示听到声音",2/1/0,OCR草稿，需人工校对
9,（9） 模仿按动响铃2次,6,PEP-3使用册(1).pdf,"（9） 模仿按动响铃2次
胶泥及竹棒",响铃,"测试员将响铃放在儿童的面前。吸引
儿童的注意说：「睇吓我做乜嘢？」
（看看我做甚么？）把响铃连续而迅速
地按响2次，然后指示儿童：「你做
俾我睇。」或「跟住我做。」（你做给
我看看：跟着我做。）
若儿童按响1次或多次，再次示范并
指示儿童模仿。","模仿
（视觉/动作）",VMI,"2- 能按响响铃2次
1- 能按响铃1次或多于2次
0- 再次示范后仍没有尝试按响铃",2/1/0,OCR草稿，需人工校对
10,（10） 手指插入胶泥并做出凹位,6,PEP-3使用册(1).pdf,（10） 手指插入胶泥并做出凹位,胶泥,"测试员示范将手指插入胶泥球，做出
凹位，*并示意儿童模仿。*","模仿
（视觉/动作）",VMI,"2- 示范后能模仿做出清楚明显的凹位
1-能用手指轻轻地插入胶泥，但没有做出明显
的凹位
0- 没有尝试",2/1/0,OCR草稿，需人工校对
